Date,combined_nav
2023-06-22,115773706.03292263
2023-06-23,115018717.20664829
2023-06-26,112353708.27765852
2023-06-27,114038637.29057506
2023-06-28,114277396.04251234
2023-06-29,114689514.6682654
2023-06-30,116666763.21570624
2023-07-03,117258109.03757772
2023-07-05,117773750.13625267
2023-07-06,116934956.77278392
2023-07-07,116561296.26067872
2023-07-10,115732291.05722791
2023-07-11,116409335.63700213
2023-07-12,118078015.22996764
2023-07-13,120328845.85979393
2023-07-14,120537360.76313138
2023-07-17,121579324.18651718
2023-07-18,122205269.91283587
2023-07-19,122219958.54522541
2023-07-20,119725039.79007372
2023-07-21,118869974.25637048
2023-07-24,119765380.4627784
2023-07-25,120257238.5226758
2023-07-26,120543926.75035979
2023-07-27,120289157.06491654
2023-07-28,122850756.54411668
2023-07-31,122426231.43403947
2023-08-01,122050995.16585131
2023-08-02,119511841.99625659
2023-08-03,119920059.37746382
2023-08-04,119916455.77568251
2023-08-07,121124827.32078587
2023-08-08,120223383.85379243
2023-08-09,118272525.03536099
2023-08-10,118438386.5704105
2023-08-11,117807230.35385592
2023-08-14,119386167.09599051
2023-08-15,117839917.95543936
2023-08-16,116522592.47105666
2023-08-17,115402055.58333449
2023-08-18,114817109.18208283
2023-08-21,117156557.18284641
2023-08-22,116695345.91311783
2023-08-23,118407862.73074502
2023-08-24,116546905.36449963
2023-08-25,117343119.25908552
2023-08-28,117943764.59849945
2023-08-29,120736683.19360797
2023-08-30,121055956.03723909
2023-08-31,121104458.41965398
2023-09-01,120473675.23587178
2023-09-05,121079457.08555585
2023-09-06,119528292.82943161
2023-09-07,119212210.13636191
2023-09-08,119254004.40990965
2023-09-11,121627555.47753456
2023-09-12,120540853.68267496
2023-09-13,121521269.41457826
2023-09-14,122247945.39298329
2023-09-15,120259390.75980124
2023-09-18,120444898.22157134
2023-09-19,120231356.75171915
2023-09-20,118294820.5351515
2023-09-21,116078967.39114416
2023-09-22,115546409.72049272
2023-09-25,116213109.04048276
2023-09-26,114358648.21346788
2023-09-27,114313970.34066464
2023-09-28,115437352.38970657
2023-09-29,115308994.92855398
2023-10-02,116784044.7937916
2023-10-03,114821052.52215178
2023-10-04,116748805.36242305
2023-10-05,117114855.12320745
2023-10-06,118991892.80517876
2023-10-09,119241003.86114158
2023-10-10,119851347.390872
2023-10-11,120815359.7104207
2023-10-12,120492248.6999939
2023-10-13,119042734.79310696
2023-10-16,120321016.91008908
2023-10-17,119656946.10691449
2023-10-18,117160325.91950744
2023-10-19,115651072.12818258
2023-10-20,113912147.53553855
2023-10-23,114489555.00206839
2023-10-24,115463269.32403597
2023-10-25,112787977.90457103
2023-10-26,110019772.44590904
2023-10-27,110621572.4034637
2023-10-30,111953647.70375334
2023-10-31,112383196.17445871
2023-11-01,114681019.2083794
2023-11-02,116729347.7808648
2023-11-03,117865901.04129481
2023-11-06,118680555.75847973
2023-11-07,119622089.76008688
2023-11-08,120000727.56372876
2023-11-09,118702559.70604049
2023-11-10,120999757.15956119
2023-11-13,121217916.72244841
2023-11-14,123526071.31934215
2023-11-15,123662169.99779342
2023-11-16,124178675.24668422
2023-11-17,124186137.96719901
2023-11-20,125425023.9013523
2023-11-21,125362211.38940164
2023-11-22,125525442.26420787
2023-11-24,125152037.70068318
2023-11-27,125126967.29314303
2023-11-28,125930313.15349208
2023-11-29,125338761.9848022
2023-11-30,124847905.42544164
2023-12-01,124999213.39100641
2023-12-04,123610754.11450015
2023-12-05,124691621.99791972
2023-12-06,123620051.88117757
2023-12-07,125516975.07599722
2023-12-08,126189560.89265381
2023-12-11,125044471.47096638
2023-12-12,126051437.02159296
2023-12-13,126877121.41971417
2023-12-14,127194814.22326344
2023-12-15,127867458.84236225
2023-12-18,129212167.16020705
2023-12-19,130055934.4900916
2023-12-20,128344371.5108918
2023-12-21,129895902.07502826
2023-12-22,129743689.86960047
2023-12-26,130263464.62907888
2023-12-27,130614411.3489311
2023-12-28,130471823.64056076
2023-12-29,129848519.04179528
2024-01-02,128596151.8034228
2024-01-03,127670107.47195618
2024-01-04,127171414.05281554
2024-01-05,127664341.42519994
2024-01-08,130226742.82736096
2024-01-09,130454989.62730882
2024-01-10,131923551.71071975
2024-01-11,131617025.07075088
2024-01-12,131450935.61916173
2024-01-16,131246876.668952
2024-01-17,130619875.0672411
2024-01-18,131996100.1529485
2024-01-19,134020022.44629014
2024-01-22,133854931.8186812
2024-01-23,134114998.38640946
2024-01-24,134926260.97666338
2024-01-25,134139826.1377792
2024-01-26,133797259.58112785
2024-01-29,135657141.54411387
2024-01-30,135469658.688783
2024-01-31,132262427.95738018
2024-02-01,133776473.50893302
2024-02-02,138377225.60922977
2024-02-05,137865875.6467317
2024-02-06,138179285.1844498
2024-02-07,139899339.69929248
2024-02-08,139522472.4755014
2024-02-09,141292756.201766
2024-02-12,140416916.04087707
2024-02-13,138624050.36135587
2024-02-14,140216362.21900064
2024-02-15,141324247.31690857
2024-02-16,140309518.46364632
2024-02-20,138973272.94305703
2024-02-21,139102704.0868941
2024-02-22,143919791.5942189
2024-02-23,143532109.35483044
2024-02-26,143090851.77911112
2024-02-27,143328714.59306446
2024-02-28,143087586.3525481
2024-02-29,144160810.37432867
2024-03-01,145143907.49297786
2024-03-04,143434663.14086044
2024-03-05,141673702.17075348
2024-03-06,141747476.49588227
2024-03-07,143568662.61932445
2024-03-08,142542154.36822248
2024-03-11,142079669.78806943
2024-03-12,144763064.36027244
2024-03-13,143904883.01925963
2024-03-14,143403398.0263526
2024-03-15,142301959.9634905
2024-03-18,144604791.63650048
2024-03-19,145075407.2093191
2024-03-20,146820164.84990305
2024-03-21,146508482.10042125
2024-03-22,146693334.78786778
2024-03-25,146205648.91637206
2024-03-26,145942118.7483226
2024-03-27,146548608.54112816
2024-03-28,145942536.7878533
2024-04-01,146389732.95042413
2024-04-02,145379729.6903957
2024-04-03,145497649.27144492
2024-04-04,144154316.9451622
2024-04-05,145659932.47090024
2024-04-08,146142728.8473789
2024-04-09,146390048.059131
2024-04-10,145605791.30201462
2024-04-11,147803084.57693598
2024-04-12,145252991.42967537
2024-04-15,142451566.81473982
2024-04-16,141517199.05210328
2024-04-17,140437313.99532625
2024-04-18,139929613.29180312
2024-04-19,137276959.7121893
