Date,nav
2022-04-13,99593783.37434672
2022-04-14,97777818.46062112
2022-04-18,98478388.23197031
2022-04-19,100100112.36981663
2022-04-20,98304807.1490064
2022-04-21,96896434.47962281
2022-04-22,95378798.36490194
2022-04-25,96443657.96218847
2022-04-26,93115929.77628058
2022-04-27,92963377.59949179
2022-04-28,96295117.40368903
2022-04-29,93344895.9204232
2022-05-02,94861992.88188952
2022-05-03,94951089.87928301
2022-05-04,97121163.74725226
2022-05-05,93140620.82003422
2022-05-06,92590881.61575352
2022-05-09,89726058.01373409
2022-05-10,90447861.69693166
2022-05-11,88314301.81070906
2022-05-12,87791510.42372307
2022-05-13,90123759.33806679
2022-05-16,89130447.01947941
2022-05-17,91020022.51144761
2022-05-18,88227276.2632516
2022-05-19,87816271.25396697
2022-05-20,87201170.62237161
2022-05-23,88844998.36661983
2022-05-24,86567458.45464751
2022-05-25,87563912.39481157
2022-05-26,89516347.7780896
2022-05-27,91673439.74956465
2022-05-31,92090961.34931317
2022-06-01,91510922.92859863
2022-06-02,93576909.56179732
2022-06-03,91217808.04791316
2022-06-06,91793340.12664959
2022-06-07,92019001.05025879
2022-06-08,91910076.08980775
2022-06-09,89971688.51057887
2022-06-10,87454341.03022829
2022-06-13,84679446.29973592
2022-06-14,84891287.40797256
2022-06-15,86905803.71826887
2022-06-16,84646215.06812766
2022-06-17,85475165.13433619
2022-06-21,87098054.3111232
2022-06-22,86960416.10743073
2022-06-23,87636731.45605804
2022-06-24,90181231.32625656
2022-06-27,89430695.87687658
2022-06-28,86905140.21824992
2022-06-29,87075774.24446686
2022-06-30,85875200.24255094
2022-07-01,86045990.59721597
2022-07-05,87730596.6981331
2022-07-06,88072318.14741701
2022-07-07,89667120.99243943
2022-07-08,89832792.94182712
2022-07-11,87990045.15135728
2022-07-12,87449778.02169856
2022-07-13,87508173.25333226
2022-07-14,87424325.65628271
2022-07-15,88694549.33383025
2022-07-18,88412240.67098178
2022-07-19,90174077.88653938
2022-07-20,91328226.0787122
2022-07-21,92626949.57148431
2022-07-22,90869458.70594794
2022-07-25,90259385.94929402
2022-07-26,88530312.42775321
2022-07-27,91521655.27071702
2022-07-28,91518391.05106269
2022-07-29,93206757.19277102
2022-08-01,93108579.68303043
2022-08-02,92798966.43715872
2022-08-03,94688221.62138338
2022-08-04,95216031.12899195
2022-08-05,94476499.46392912
2022-08-08,93685919.669552
2022-08-09,92990221.2372984
2022-08-10,95152248.1887876
2022-08-11,94384176.64995648
2022-08-12,95688439.25871599
2022-08-15,96457796.1536019
2022-08-16,96402185.11343299
2022-08-17,95542246.6287832
2022-08-18,95568134.07604153
2022-08-19,93968270.24343339
2022-08-22,92295778.6763252
2022-08-23,92239030.09860308
2022-08-24,92290856.76959695
2022-08-25,93646503.95232423
2022-08-26,90793101.7628993
2022-08-29,90038863.45229897
2022-08-30,89458348.45362315
2022-08-31,89174549.3140279
2022-09-01,89132529.25173186
2022-09-02,88072365.05749899
2022-09-06,87825212.5976063
2022-09-07,88812455.0129661
2022-09-08,89207435.29515241
2022-09-09,90713731.8430058
2022-09-12,91400494.31317478
2022-09-13,87650977.60237163
2022-09-14,88147655.22479507
2022-09-15,87559983.85398747
2022-09-16,87438472.48902139
2022-09-19,87911388.34715596
2022-09-20,87454765.13002872
2022-09-21,86329831.32631347
2022-09-22,85865869.10090408
2022-09-23,85013914.47767337
2022-09-26,84600067.48416084
2022-09-27,84559680.77797478
2022-09-28,85586634.86732247
2022-09-29,83868644.92515144
2022-09-30,83151719.42468774
2022-10-03,83559752.28567338
2022-10-04,85148162.46058734
2022-10-05,84853714.78251728
2022-10-06,84419089.3636383
2022-10-07,82123574.74220566
2022-10-10,81694834.0152928
2022-10-11,80726346.922166
2022-10-12,80851257.34191625
2022-10-13,82186446.54097916
2022-10-14,80561152.23466846
2022-10-17,83030948.53134048
2022-10-18,83307685.78991778
2022-10-19,83162820.01809302
2022-10-20,82910096.1915633
2022-10-21,84067004.59537345
2022-10-24,84232517.24501267
2022-10-25,85725257.50056256
2022-10-26,84011215.22257236
2022-10-27,81518720.87698177
2022-10-28,82535286.61440709
2022-10-31,81438935.4610075
2022-11-01,80836359.37711716
2022-11-02,78937874.50831783
2022-11-03,77993417.323582
2022-11-04,78849088.632489
2022-11-07,79363290.82597277
2022-11-08,79288329.40708053
2022-11-09,78035733.39163814
2022-11-10,82357096.00454813
2022-11-11,83240240.10182811
2022-11-14,82980349.3478465
2022-11-15,83713184.3483123
2022-11-16,82902297.31508173
2022-11-17,82538057.63115904
2022-11-18,82185578.96253246
2022-11-21,80954698.0576662
2022-11-22,81827004.40595648
2022-11-23,83035338.89109924
2022-11-25,82643248.27592531
2022-11-28,82014989.32398984
2022-11-29,81522384.5374784
2022-11-30,84651973.34273869
2022-12-01,84745469.43222837
2022-12-02,84669856.62422076
2022-12-05,83532036.24179602
2022-12-06,81908391.33367392
2022-12-07,81485537.3014634
2022-12-08,82232847.94273525
2022-12-09,82276000.57486436
2022-12-12,82494170.34903952
2022-12-13,83115700.74424908
2022-12-14,82731953.26674467
2022-12-15,80972614.39789501
2022-12-16,80433328.82188028
2022-12-19,79451525.21957536
2022-12-20,79090862.07959291
2022-12-21,79766381.91636616
2022-12-22,77763375.96889125
2022-12-23,77830945.89375407
2022-12-27,76014975.09771822
2022-12-28,75874179.03605294
2022-12-29,77629490.4651803
2022-12-30,77736505.29024136
2023-01-03,77102138.35365891
2023-01-04,77621090.8198286
2023-01-05,76682100.59714775
2023-01-06,77939636.77971408
2023-01-09,78822693.77570088
2023-01-10,79414904.06216443
2023-01-11,80606698.71510789
2023-01-12,81087883.43512361
2023-01-13,81695910.35331479
2023-01-17,82312695.24554592
2023-01-18,81519774.01649067
2023-01-19,81331307.08480467
2023-01-20,83205526.33634546
2023-01-23,84901335.08064246
2023-01-24,84807048.07759601
2023-01-25,84686196.99011637
2023-01-26,86610519.449202
2023-01-27,88749357.54313926
2023-01-30,86552340.09690882
2023-01-31,87594276.59617835
2023-02-01,89207596.78038394
2023-02-02,93462946.60167156
2023-02-03,92546289.92318058
2023-02-06,92367689.82060814
2023-02-07,94019845.2590715
2023-02-08,92946227.67911783
2023-02-09,92228078.05646595
2023-02-10,91007658.9102385
2023-02-13,91916967.99742483
2023-02-14,93124348.52498789
2023-02-15,93336887.49927722
2023-02-16,91570463.7219356
2023-02-17,91418688.3459061
2023-02-21,89792924.78650475
2023-02-22,89962265.24571921
2023-02-23,91341241.22314747
2023-02-24,90333859.24148574
2023-02-27,91061215.08340962
2023-02-28,91160423.7645356
2023-03-01,90327218.83913854
2023-03-02,90226728.38762453
2023-03-03,92196278.19783238
2023-03-06,92267011.45478702
2023-03-07,91401139.14822318
2023-03-08,91434266.10103977
2023-03-09,89983953.68648094
2023-03-10,89735993.26494572
2023-03-13,90287962.08061625
2023-03-14,92532489.5294307
2023-03-15,92878442.42153654
2023-03-16,94789343.76559953
2023-03-17,94244277.1189433
2023-03-20,94255889.27625781
2023-03-21,96018732.40622695
2023-03-22,95276014.31906532
2023-03-23,96254762.87834808
2023-03-24,95915724.68999729
2023-03-27,95522903.47026229
2023-03-28,94899957.25995296
2023-03-29,96003735.93064024
2023-03-30,96410713.58979465
2023-03-31,97870385.81243926
2023-04-03,97543443.20012252
2023-04-04,97590411.02939194
2023-04-05,96968982.44948177
2023-04-06,97705241.01410034
2023-04-10,97388239.64312433
2023-04-11,96856120.84697312
2023-04-12,96120351.2842536
2023-04-13,97821931.88761644
2023-04-14,98762641.82911257
2023-04-17,98639921.93495353
2023-04-18,98392764.55984248
2023-04-19,98470219.16961847
2023-04-20,97370993.1844888
2023-04-21,97559543.08052725
2023-04-24,97246569.61586878
2023-04-25,96070616.93352558
2023-04-26,96656337.62011896
2023-04-27,99377139.98916912
2023-04-28,99637633.07549685
2023-05-01,99844212.59853162
2023-05-02,99350887.39009666
2023-05-03,98909032.45090614
2023-05-04,98679645.3320784
2023-05-05,100311254.27613805
2023-05-08,100747269.50080371
2023-05-09,100355242.59231925
2023-05-10,101233999.53198794
2023-05-11,102000959.84666784
2023-05-12,101320332.66732748
2023-05-15,101614382.67892946
2023-05-16,102270887.68483612
2023-05-17,103620132.1255739
2023-05-18,104938315.74876116
2023-05-19,104819767.83202806
2023-05-22,105288165.1419981
2023-05-23,104285706.17718711
2023-05-24,104217479.85026672
2023-05-25,107120579.07604173
2023-05-26,108957704.03194304
2023-05-30,109727614.37007326
2023-05-31,109165784.24820395
2023-06-01,110884935.00113216
2023-06-02,111504128.94847398
2023-06-05,111689645.35313506
2023-06-06,111865196.03708991
2023-06-07,110175743.74792363
2023-06-08,111314978.35749176
2023-06-09,111843286.0612372
2023-06-12,113125485.55028653
2023-06-13,113825251.85531041
2023-06-14,114482901.59202135
2023-06-15,115386872.0124799
2023-06-16,115352623.53075576
2023-06-20,116218576.71010284
2023-06-21,114935971.15161663
2023-06-22,116266522.62951168
2023-06-23,115792070.26034343
2023-06-26,113278429.92331739
2023-06-27,114571818.84502111
2023-06-28,114820668.83642264
2023-06-29,115085455.36599769
2023-06-30,116638871.85594012
2023-07-03,117197925.711526
2023-07-05,117782187.23855785
2023-07-06,117240076.31533797
2023-07-07,116971364.69366096
2023-07-10,116059611.32660331
