Date,0
2023-08-17,ESU3
2023-08-18,ESU3
2023-08-21,ESU3
2023-08-22,ESU3
2023-08-23,ESU3
2023-08-24,ESU3
2023-08-25,ESU3
2023-08-28,ESU3
2023-08-29,ESU3
2023-08-30,ESU3
2023-08-31,ESU3
2023-09-01,ESU3
2023-09-05,ESU3
2023-09-06,ESU3
2023-09-07,ESU3
2023-09-08,ESU3
2023-09-11,ESU3
2023-09-12,ESZ3
2023-09-13,ESZ3
2023-09-14,ESZ3
2023-09-15,ESZ3
2023-09-18,ESZ3
2023-09-19,ESZ3
2023-09-20,ESZ3
2023-09-21,ESZ3
2023-09-22,ESZ3
2023-09-25,ESZ3
2023-09-26,ESZ3
2023-09-27,ESZ3
2023-09-28,ESZ3
2023-09-29,ESZ3
2023-10-02,ESZ3
2023-10-03,ESZ3
2023-10-04,ESZ3
2023-10-05,ESZ3
2023-10-06,ESZ3
2023-10-09,ESZ3
2023-10-10,ESZ3
2023-10-11,ESZ3
2023-10-12,ESZ3
2023-10-13,ESZ3
2023-10-16,ESZ3
2023-10-17,ESZ3
2023-10-18,ESZ3
2023-10-19,ESZ3
2023-10-20,ESZ3
2023-10-23,ESZ3
2023-10-24,ESZ3
2023-10-25,ESZ3
2023-10-26,ESZ3
2023-10-27,ESZ3
2023-10-30,ESZ3
2023-10-31,ESZ3
2023-11-01,ESZ3
2023-11-02,ESZ3
2023-11-03,ESZ3
2023-11-06,ESZ3
2023-11-07,ESZ3
2023-11-08,ESZ3
2023-11-09,ESZ3
2023-11-10,ESZ3
2023-11-13,ESZ3
2023-11-14,ESZ3
2023-11-15,ESZ3
2023-11-16,ESZ3
2023-11-17,ESZ3
2023-11-20,ESZ3
2023-11-21,ESZ3
2023-11-22,ESZ3
2023-11-24,ESZ3
2023-11-27,ESZ3
2023-11-28,ESZ3
2023-11-29,ESZ3
2023-11-30,ESZ3
2023-12-01,ESZ3
2023-12-04,ESZ3
2023-12-05,ESZ3
2023-12-06,ESZ3
2023-12-07,ESZ3
2023-12-08,ESZ3
2023-12-11,ESZ3
2023-12-12,ESH4
2023-12-13,ESH4
2023-12-14,ESH4
2023-12-15,ESH4
2023-12-18,ESH4
2023-12-19,ESH4
2023-12-20,ESH4
2023-12-21,ESH4
2023-12-22,ESH4
2023-12-26,ESH4
2023-12-27,ESH4
2023-12-28,ESH4
2023-12-29,ESH4
2024-01-02,ESH4
2024-01-03,ESH4
2024-01-04,ESH4
2024-01-05,ESH4
2024-01-08,ESH4
2024-01-09,ESH4
2024-01-10,ESH4
2024-01-11,ESH4
2024-01-12,ESH4
2024-01-16,ESH4
2024-01-17,ESH4
2024-01-18,ESH4
2024-01-19,ESH4
2024-01-22,ESH4
2024-01-23,ESH4
2024-01-24,ESH4
2024-01-25,ESH4
2024-01-26,ESH4
2024-01-29,ESH4
2024-01-30,ESH4
2024-01-31,ESH4
2024-02-01,ESH4
2024-02-02,ESH4
2024-02-05,ESH4
2024-02-06,ESH4
2024-02-07,ESH4
2024-02-08,ESH4
2024-02-09,ESH4
2024-02-12,ESH4
2024-02-13,ESH4
2024-02-14,ESH4
2024-02-15,ESH4
2024-02-16,ESH4
2024-02-20,ESH4
2024-02-21,ESH4
2024-02-22,ESH4
2024-02-23,ESH4
2024-02-26,ESH4
2024-02-27,ESH4
2024-02-28,ESH4
2024-02-29,ESH4
2024-03-01,ESH4
2024-03-04,ESH4
2024-03-05,ESH4
2024-03-06,ESH4
2024-03-07,ESH4
2024-03-08,ESH4
2024-03-11,ESH4
2024-03-12,ESM4
2024-03-13,ESM4
2024-03-14,ESM4
2024-03-15,ESM4
2024-03-18,ESM4
2024-03-19,ESM4
2024-03-20,ESM4
2024-03-21,ESM4
2024-03-22,ESM4
2024-03-25,ESM4
