Date,combined_nav
2023-01-27,96969692.22488306
2023-01-30,95731627.55589499
2023-01-31,95708060.96933967
2023-02-01,96538468.01656961
2023-02-02,99695886.3972464
2023-02-03,99589938.58840476
2023-02-06,99860702.83072367
2023-02-07,100544640.2477201
2023-02-08,100309527.27008946
2023-02-09,100309434.07484129
2023-02-10,98940771.02102081
2023-02-13,98969881.90687357
2023-02-14,100209690.78922261
2023-02-15,100185966.03578556
2023-02-16,99503575.83271791
2023-02-17,99578798.94019023
2023-02-21,99467902.81150506
2023-02-22,99762324.06775114
2023-02-23,100775322.89830913
2023-02-24,100564751.9199599
2023-02-27,101065109.27838197
2023-02-28,101395949.06512204
2023-03-01,100914823.4202584
2023-03-02,100290846.67005654
2023-03-03,101055914.73107107
2023-03-06,101075689.1447906
2023-03-07,101372604.98840955
2023-03-08,101306338.83597255
2023-03-09,101663746.6254305
2023-03-10,102804068.05992123
2023-03-13,103562802.25840415
2023-03-14,104259543.1273088
2023-03-15,105296683.15624458
2023-03-16,105565276.6025407
2023-03-17,106142650.60543738
2023-03-20,105303570.90203811
2023-03-21,105819914.15276691
2023-03-22,106619075.063149
2023-03-23,107420596.15144973
2023-03-24,106532152.80305462
2023-03-27,105997549.60653399
2023-03-28,105510477.79064423
2023-03-29,105290958.01133229
2023-03-30,105166253.2575406
2023-03-31,105261273.95362352
2023-04-03,104556246.06987841
2023-04-04,105188064.55338857
2023-04-05,104844292.34468359
2023-04-06,105232003.54970415
2023-04-10,104814573.27850498
2023-04-11,104276546.89998771
2023-04-12,103954308.10289294
2023-04-13,104385758.49755117
2023-04-14,105539141.40422577
2023-04-17,105109227.22703119
2023-04-18,104785271.28116125
2023-04-19,104898171.38513365
2023-04-20,104413333.96607503
2023-04-21,104501454.96189032
2023-04-24,104123498.09120512
2023-04-25,104513054.73586991
2023-04-26,105506398.60572198
2023-04-27,106389942.85892501
2023-04-28,105829281.9963693
2023-05-01,106100844.92543083
2023-05-02,106765405.86074518
2023-05-03,107014738.0583846
2023-05-04,107535613.90004748
2023-05-05,107406763.2990189
2023-05-08,107783702.70002389
2023-05-09,107834744.46899453
2023-05-10,108288155.47830632
2023-05-11,109250066.01106647
2023-05-12,108705313.22614565
2023-05-15,108715799.28417638
2023-05-16,110010323.18561837
2023-05-17,110213496.64733899
2023-05-18,110574651.92722325
2023-05-19,110627423.8991061
2023-05-22,111089913.62671009
2023-05-23,111180357.39962167
2023-05-24,111886024.36265616
2023-05-25,113991599.969012
2023-05-26,114564502.29857478
2023-05-30,115293059.56014253
2023-05-31,115310172.51014787
2023-06-01,116143185.90816589
2023-06-02,115344560.0876514
2023-06-05,115695488.79856241
2023-06-06,115664274.09970486
2023-06-07,114341091.9172348
2023-06-08,114913198.6196604
2023-06-09,115287909.18188807
2023-06-12,115669763.68608616
2023-06-13,115673234.46807696
2023-06-14,116288500.99903806
2023-06-15,115914920.50332284
2023-06-16,116304504.0790971
2023-06-20,117630617.77801389
2023-06-21,116965596.07473963
2023-06-22,117944972.41927887
2023-06-23,118312129.42142889
2023-06-26,116252594.86029398
2023-06-27,116371363.50835927
2023-06-28,116650487.21815354
2023-06-29,116473277.45919454
2023-06-30,116755197.77664176
2023-07-03,117217375.73337086
2023-07-05,118007498.54547335
2023-07-06,118355434.94300014
2023-07-07,118401569.99260764
2023-07-10,117241572.1347295
2023-07-11,116974076.70065013
2023-07-12,117544829.4399055
2023-07-13,118633149.28345044
2023-07-14,119059634.95921564
2023-07-17,119552634.95574637
2023-07-18,119080653.8283549
2023-07-19,118796641.7726027
2023-07-20,117318919.9554472
2023-07-21,116488073.39645815
2023-07-24,116778005.2350112
2023-07-25,116866213.7163387
2023-07-26,117177120.91873688
2023-07-27,117923402.18814701
2023-07-28,119120666.09178084
2023-07-31,118437805.2514189
2023-08-01,118490437.53651485
2023-08-02,118017970.20919806
2023-08-03,118926713.06783198
2023-08-04,119690043.6653335
2023-08-07,119614809.55058454
2023-08-08,119334986.43458876
2023-08-09,118441689.51201048
2023-08-10,118607551.04706
2023-08-11,118137854.66193339
2023-08-14,118901419.25535676
2023-08-15,119034352.36165643
2023-08-16,118814953.73098388
2023-08-17,118840781.64640026
2023-08-18,118312346.18614838
2023-08-21,119691108.18991558
2023-08-22,119657765.4734711
2023-08-23,119828340.90096124
2023-08-24,119937193.478137
2023-08-25,119821159.3251549
2023-08-28,119517629.60857223
2023-08-29,120227716.37826002
2023-08-30,119981879.81189327
2023-08-31,120296790.9161643
2023-09-01,119488401.91781133
2023-09-05,120707731.12692167
2023-09-06,120157617.82565081
2023-09-07,120333987.6184364
2023-09-08,120198176.07741338
2023-09-11,121647957.82496181
2023-09-12,121505602.58085065
2023-09-13,122348492.116043
2023-09-14,121699906.12733865
2023-09-15,121801749.68416287
2023-09-18,121858899.3623361
2023-09-19,122067104.89573078
2023-09-20,121707535.73478189
2023-09-21,122242206.52499333
2023-09-22,122113059.03136066
2023-09-25,122128801.02025226
2023-09-26,122621453.9504374
2023-09-27,122622618.14320447
2023-09-28,122865832.53329639
2023-09-29,123177558.90161881
2023-10-02,124698450.83242674
2023-10-03,124917540.88193382
2023-10-04,125635063.19114882
2023-10-05,126257828.51912698
2023-10-06,126273678.33894359
2023-10-09,125523432.36547357
2023-10-10,125299450.3018243
2023-10-11,125594168.46404643
2023-10-12,126343761.78796495
2023-10-13,125746910.30068584
2023-10-16,125420720.12270701
2023-10-17,124729144.08019023
2023-10-18,124414606.21393009
2023-10-19,124344793.28151304
2023-10-20,124604582.74773467
2023-10-23,125429537.36834419
2023-10-24,125321378.9428524
2023-10-25,124901517.14944685
2023-10-26,124086183.68408018
2023-10-27,125375614.62518956
2023-10-30,124947354.60757917
2023-10-31,124405051.28819391
2023-11-01,125098402.02715364
2023-11-02,124222006.81625307
2023-11-03,123882445.565319
2023-11-06,124394542.64973985
2023-11-07,124905161.23498607
2023-11-08,125155441.25503106
2023-11-09,125223366.95133811
2023-11-10,125017587.62471972
2023-11-13,125428283.86300227
2023-11-14,124591672.76177254
2023-11-15,124425213.80745974
2023-11-16,124795024.44652554
2023-11-17,124646624.14410126
2023-11-20,124611100.65539986
2023-11-21,124951698.32046795
2023-11-22,124528150.75597417
2023-11-24,124118072.53999323
2023-11-27,124358886.1127609
2023-11-28,125088884.66819744
2023-11-29,124634859.6962185
2023-11-30,123502214.21887356
2023-12-01,122773354.52548832
2023-12-04,122274231.32104613
2023-12-05,123410109.68315008
2023-12-06,123035338.9630767
2023-12-07,123700203.69999523
2023-12-08,123718109.40906125
2023-12-11,121968062.41960028
2023-12-12,122353496.2225143
2023-12-13,121074259.7683823
2023-12-14,120952736.80354802
2023-12-15,121824271.58191486
2023-12-18,122340270.90280956
2023-12-19,122280745.42601854
2023-12-20,122906141.81821796
2023-12-21,122899699.46808827
2023-12-22,122465726.20369746
2023-12-26,122330820.85558529
2023-12-27,122400006.51647449
2023-12-28,122298854.25795165
2023-12-29,122081617.06769171
2024-01-02,121914858.61532384
2024-01-03,122339609.94888586
2024-01-04,122404438.64767128
2024-01-05,122723337.13069615
2024-01-08,123081372.60096996
