Date,nav
2022-05-03,96375666.44277787
2022-05-04,97560042.47537377
2022-05-05,94768595.3495585
2022-05-06,94404652.364247
2022-05-09,92572464.58976154
2022-05-10,93221905.53504479
2022-05-11,91608575.0619359
2022-05-12,91109252.67103025
2022-05-13,92717874.20623082
2022-05-16,91841906.86804503
2022-05-17,93105642.46453808
2022-05-18,91580222.00467925
2022-05-19,91364791.9627306
2022-05-20,90736001.08342172
2022-05-23,91814617.17206895
2022-05-24,89781545.96926661
2022-05-25,90494416.20679349
2022-05-26,91828834.69328982
2022-05-27,93203626.79542094
2022-05-31,93812811.86315873
2022-06-01,93485065.15030761
2022-06-02,94954548.13313155
2022-06-03,93129366.28007463
2022-06-06,93599287.87644961
2022-06-07,93525719.10003476
2022-06-08,93766873.33111514
2022-06-09,92593183.87416995
2022-06-10,90993082.99062513
2022-06-13,89379903.56610848
2022-06-14,89698551.30694807
2022-06-15,91320668.90274096
2022-06-16,89961939.27322026
2022-06-17,90757728.88468203
2022-06-21,91702670.98664623
2022-06-22,91601877.7326724
2022-06-23,92005540.45338184
2022-06-24,93691552.99513629
2022-06-27,93033129.92005289
2022-06-28,91084197.72452277
2022-06-29,91286149.95800056
2022-06-30,90319541.38679793
2022-07-01,90212152.3710873
2022-07-05,91847017.7898843
2022-07-06,92083731.13247012
2022-07-07,93260343.79818608
2022-07-08,93453649.45986274
2022-07-11,91938821.7218887
2022-07-12,91641731.26037295
2022-07-13,91841979.54842336
2022-07-14,91841033.08824073
2022-07-15,92582531.73732594
2022-07-18,92530504.0102189
2022-07-19,93527808.51911494
2022-07-20,94497731.9626946
2022-07-21,95510907.09514733
2022-07-22,94020542.11507101
2022-07-25,93373624.40869847
2022-07-26,91989051.16702685
2022-07-27,94234283.7781884
2022-07-28,93869939.05129151
2022-07-29,95116165.79637627
2022-08-01,95113785.15590411
2022-08-02,95001292.39102708
2022-08-03,96429985.70376888
2022-08-04,96987271.17115234
2022-08-05,96288268.95078
2022-08-08,95534534.10612151
2022-08-09,94965950.75039719
2022-08-10,96497929.06169781
2022-08-11,95731699.77035263
2022-08-12,96510921.84562166
2022-08-15,97153163.6639783
2022-08-16,97027547.21934399
2022-08-17,96396047.4229497
2022-08-18,96350087.21825671
2022-08-19,95155517.83255349
2022-08-22,94148077.60786659
2022-08-23,94170545.67203952
2022-08-24,94132102.21622273
2022-08-25,95058505.73472796
2022-08-26,93247815.62234028
2022-08-29,92701751.27765019
2022-08-30,92443629.5890124
2022-08-31,92388269.13767265
2022-09-01,92255978.94856597
2022-09-02,91521892.55934297
2022-09-06,91377905.95866245
2022-09-07,91853003.57293329
2022-09-08,92060074.6115546
2022-09-09,93111336.0303829
2022-09-12,93477547.4379998
2022-09-13,91050016.95971352
2022-09-14,91431095.65228394
2022-09-15,91194011.19988301
2022-09-16,91294222.37250388
2022-09-19,91560576.20844206
2022-09-20,91441274.45875478
2022-09-21,90820427.79177563
2022-09-22,90616089.39242956
2022-09-23,90241691.00400148
2022-09-26,90123474.06060487
2022-09-27,90151309.67367633
2022-09-28,90640065.46665916
2022-09-29,89511440.5602961
2022-09-30,89194373.65325841
2022-10-03,88929658.64378798
2022-10-04,89661499.69913533
2022-10-05,89437169.4047466
2022-10-06,89284908.58501679
2022-10-07,87773950.63504562
2022-10-10,87557457.12360059
2022-10-11,86786056.73055106
2022-10-12,86992454.92052557
2022-10-13,87620785.08950365
2022-10-14,86634127.49402025
2022-10-17,88408435.14715037
2022-10-18,88355431.19598301
2022-10-19,88403861.99538787
2022-10-20,88393706.4151071
2022-10-21,88877866.94846117
2022-10-24,88700372.93738899
2022-10-25,89730717.47352682
2022-10-26,88238397.73312354
2022-10-27,85908878.92798147
2022-10-28,86229956.02186488
2022-10-31,85347747.14835694
2022-11-01,84874035.44528635
2022-11-02,83712730.63735297
2022-11-03,83079064.01812361
2022-11-04,83542456.99129988
2022-11-07,83785664.97217742
2022-11-08,83559098.39937958
2022-11-09,82911027.93513575
2022-11-10,85674647.59166576
2022-11-11,86260266.57440601
2022-11-14,86259999.64648771
2022-11-15,86738896.01416166
2022-11-16,86162996.96948476
2022-11-17,85899195.70002452
2022-11-18,85404587.19961146
2022-11-21,84294990.41786966
2022-11-22,84771228.30158156
2022-11-23,85807111.92415673
2022-11-25,85418811.43783043
2022-11-28,85262423.52742612
2022-11-29,84832355.86690074
2022-11-30,87057998.94199893
2022-12-01,87147704.90264097
2022-12-02,87119468.70522885
2022-12-05,86529321.94128807
2022-12-06,85347227.04391603
2022-12-07,84986910.13769156
2022-12-08,85514393.3058003
2022-12-09,85781163.53994016
2022-12-12,85578629.0120273
2022-12-13,85968273.69317189
2022-12-14,85735858.53800204
2022-12-15,84615821.52064729
2022-12-16,84374567.96718936
2022-12-19,83599688.15256637
2022-12-20,83215861.90202251
2022-12-21,83542390.87300384
2022-12-22,81888375.79132085
2022-12-23,81829320.71178128
2022-12-27,80104458.15062033
