Date,port_pnl
2022-05-24,-2522008.621142298
2022-05-25,1280037.6428012252
2022-05-26,2570452.28005974
2022-05-27,2939391.8408189714
2022-05-31,225858.13175927103
2022-06-01,-832330.1285779625
2022-06-02,2662490.2835734338
2022-06-03,-2893021.1747113913
2022-06-06,681142.5610978603
2022-06-07,524890.6236332506
2022-06-08,-459004.15198244154
2022-06-09,-2703085.701512575
2022-06-10,-3434594.077156335
2022-06-13,-3936610.0364681035
2022-06-14,105034.47563371062
2022-06-15,2406915.0247997195
2022-06-16,-3160447.6707617044
2022-06-17,862110.5209552944
2022-06-21,2300836.2516098022
2022-06-22,-174483.15341110528
2022-06-23,948967.97654517
2022-06-24,3402987.1986425966
2022-06-27,-842647.8236765563
2022-06-28,-3102179.1217232198
2022-06-29,139315.8189561069
2022-06-30,-1434539.4326292127
2022-07-01,448969.7250406742
2022-07-05,1734346.78303729
2022-07-06,446729.5559820086
2022-07-07,2012993.0243288726
2022-07-08,138038.23709870875
2022-07-11,-2170667.8429656476
2022-07-12,-783443.7978016734
2022-07-13,-83457.82478302717
2022-07-14,-166748.73391647637
2022-07-15,1798948.7060098946
2022-07-18,-512589.59858991206
2022-07-19,2526369.922219172
2022-07-20,1338372.940765962
2022-07-21,1584271.8530914932
2022-07-22,-2024616.7509964406
2022-07-25,-573227.8069352955
2022-07-26,-2073573.8014099896
2022-07-27,3737453.0747660697
2022-07-28,357816.2875882387
2022-07-29,2130505.538331881
2022-08-01,-193974.3790090233
2022-08-02,-506733.7268663794
2022-08-03,2349817.055707544
2022-08-04,498333.5478336513
2022-08-05,-780061.1097533107
2022-08-08,-827424.7440957576
2022-08-09,-822813.5087828636
2022-08-10,2792075.591677755
2022-08-11,-769913.7863170356
2022-08-12,1829303.1422499716
2022-08-15,896471.9714151919
2022-08-16,14394.364296481013
2022-08-17,-1088377.172905296
2022-08-18,97735.09920966625
2022-08-19,-2005158.279513076
2022-08-22,-2337542.9095294476
2022-08-23,-135965.21961717308
2022-08-24,142096.79780450463
2022-08-25,1784890.846949309
2022-08-26,-3896114.2664621472
2022-08-29,-962412.2765105963
2022-08-30,-902908.3087138236
2022-08-31,-512237.82785075903
2022-09-01,48250.06451460719
2022-09-02,-1386241.9992427528
2022-09-06,-350318.3191048503
2022-09-07,1499387.216448754
2022-09-08,582889.5257513225
2022-09-09,1961331.676878482
2022-09-12,1007313.5327210575
2022-09-13,-5071502.943320021
2022-09-14,612276.5522764623
2022-09-15,-938258.2892142981
2022-09-16,-343233.902553007
2022-09-19,679477.8803309351
2022-09-20,-793944.6845671833
2022-09-21,-1629020.9404513538
2022-09-22,-723586.0514727235
2022-09-23,-1329510.8580333292
2022-09-26,-709477.0436284393
2022-09-27,-108609.02544356883
2022-09-28,1565152.385712549
2022-09-29,-2307354.977979049
2022-09-30,-1116784.0938896984
2022-10-03,1080780.7314417213
2022-10-04,2444979.294480562
2022-10-05,-364565.06175139546
2022-10-06,-716990.018028155
2022-10-07,-3080071.2928940803
2022-10-10,-640987.9423806965
2022-10-11,-1165573.7932040691
2022-10-12,43422.64952598512
2022-10-13,2042048.2291477472
2022-10-14,-2263931.017138019
2022-10-17,3165284.9402139336
2022-10-18,606478.468321979
2022-10-19,-338162.3430543989
2022-10-20,-495292.072778672
2022-10-21,1829656.274266228
2022-10-24,508519.3103506267
2022-10-25,1955135.9749619663
2022-10-26,-1935764.8155771494
2022-10-27,-2655469.886039108
2022-10-28,1712054.3809672445
2022-10-31,-1310493.4332912266
2022-11-01,-731440.4647101164
2022-11-02,-2635664.9296652824
2022-11-03,-1255247.7502422929
2022-11-04,1247949.6446377188
2022-11-07,785196.406090036
2022-11-08,76643.73501335084
2022-11-09,-1857121.5666409433
2022-11-10,5879105.569289982
2022-11-11,1180669.2118197083
2022-11-14,-519514.580044955
2022-11-15,986773.6332576871
2022-11-16,-1045875.021784246
2022-11-17,-464678.0983851552
2022-11-18,-210348.83684007823
2022-11-21,-1352165.0279907435
2022-11-22,1268374.8128686398
2022-11-23,1380785.347710386
2022-11-25,-395880.7440215647
2022-11-28,-1100129.9934666455
2022-11-29,-555141.9124974906
2022-11-30,4033534.5354223996
2022-12-01,97286.21833731234
2022-12-02,-122989.41860310733
2022-12-05,-1685494.0009087026
2022-12-06,-2065194.918872133
2022-12-07,-485391.1581965834
2022-12-08,967138.1144349724
2022-12-09,-180464.9698816538
2022-12-12,638874.0762631893
2022-12-13,853416.1092744917
2022-12-14,-535079.7998389304
2022-12-15,-2398640.7203445733
2022-12-16,-837317.5985715389
2022-12-19,-1188727.3899868429
2022-12-20,-337500.0294210464
2022-12-21,1024510.7025651485
2022-12-22,-2351996.8132668138
2022-12-23,194194.9292651862
2022-12-27,-1907079.0309107155
2022-12-28,-434195.46210980415
2022-12-29,2152172.7234128416
2022-12-30,40613.908118367195
2023-01-03,-727019.3788280934
2023-01-04,694992.1064364016
2023-01-05,-1220035.964159295
2023-01-06,1791831.9328495115
2023-01-09,872247.5443914831
2023-01-10,758984.6825056821
2023-01-11,1496003.5049833208
2023-01-12,564571.9180367887
2023-01-13,699135.153066054
2023-01-17,562737.6342545152
2023-01-18,-1186694.1085992157
2023-01-19,-375316.0235480368
2023-01-20,2325127.8038029075
2023-01-23,1992296.5594830364
2023-01-24,-117450.11360785365
2023-01-25,-125483.70959192514
2023-01-26,2193014.541597992
2023-01-27,2192885.3519138843
2023-01-30,-2516668.3719778955
2023-01-31,1397104.1945444793
2023-02-01,1874291.2298641354
2023-02-02,4621326.968157887
2023-02-03,-1186892.9683740884
2023-02-06,-328388.2175362259
