Date,nav
2022-04-08,98151773.19733608
2022-04-11,97683082.61543739
2022-04-12,97635475.85522094
2022-04-13,97460477.13490456
2022-04-14,96929439.75657636
2022-04-18,97647611.27498579
2022-04-19,97567833.19700909
2022-04-20,95860536.71150002
2022-04-21,95977648.78733711
2022-04-22,97352566.43951541
2022-04-25,97818966.63675383
2022-04-26,97360323.2216648
2022-04-27,96978948.33309291
2022-04-28,97887514.29199733
2022-04-29,98598456.19726108
2022-05-02,99564031.75083995
2022-05-03,99224819.56976762
2022-05-04,98437799.93161683
2022-05-05,98024544.40860711
2022-05-06,98032193.86123395
2022-05-09,98265277.74181648
2022-05-10,98769993.2112711
2022-05-11,98197121.56438963
2022-05-12,97744737.16564462
2022-05-13,97906103.94255893
2022-05-16,97264826.56517631
2022-05-17,97276882.37071908
2022-05-18,98286113.48753457
2022-05-19,98461833.38025789
2022-05-20,97805662.00552197
2022-05-23,97753854.78296722
2022-05-24,96209720.99850483
2022-05-25,96355423.83075736
2022-05-26,96453808.5236903
2022-05-27,96264000.88713355
2022-05-31,97256512.89084987
2022-06-01,97433349.59372558
2022-06-02,97709825.27580003
2022-06-03,96952482.74439757
2022-06-06,97211183.3760497
2022-06-07,96539155.19958673
2022-06-08,97480467.81372993
2022-06-09,97836174.60135211
2022-06-10,98070566.91141881
2022-06-13,98780818.09885363
2022-06-14,99313079.10489908
2022-06-15,100150399.27168515
2022-06-16,100593387.68340546
2022-06-17,101322856.38537368
2022-06-21,100911904.33769232
2022-06-22,100884800.98315574
2022-06-23,100743158.44802946
2022-06-24,100712196.33289576
2022-06-27,100237998.0064055
2022-06-28,99442312.7370685
2022-06-29,99706901.38506795
2022-06-30,99208223.67529194
2022-07-01,98544475.91882999
2022-07-05,100079859.97338669
2022-07-06,100106557.10257632
2022-07-07,100446789.40967938
2022-07-08,100695362.49593398
2022-07-11,99836374.86295156
2022-07-12,100025637.73772173
2022-07-13,100509592.1386056
2022-07-14,100674447.95215678
2022-07-15,100358496.54431732
2022-07-18,100767030.68869317
2022-07-19,100235269.78426605
2022-07-20,100836743.73065941
2022-07-21,101278822.14247337
2022-07-22,100322708.9333172
2022-07-25,99602101.32750739
2022-07-26,98906528.64557415
2022-07-27,99659540.7931312
2022-07-28,98573035.05174915
2022-07-29,98934983.0035868
2022-08-01,99124196.10165152
2022-08-02,99405944.29876383
2022-08-03,99913513.86853987
2022-08-04,100529751.25547314
2022-08-05,99911807.9244818
2022-08-08,99231762.97926056
2022-08-09,98917409.77659479
2022-08-10,99189290.80751826
2022-08-11,98426746.01114495
2022-08-12,98155887.01943302
2022-08-15,98543898.68473111
2022-08-16,98278271.43116601
2022-08-17,98103649.01128273
2022-08-18,97913993.50268708
2022-08-19,97530013.01079373
2022-08-22,97852675.47094935
2022-08-23,98033576.8189124
2022-08-24,97814593.10947433
2022-08-25,97882509.29953548
2022-08-26,98157243.34122226
2022-08-29,98027526.92835268
2022-08-30,98414191.8597909
2022-08-31,98815708.78496218
2022-09-01,98502878.34223421
2022-09-02,98420947.56303096
2022-09-06,98483292.68077476
2022-09-07,97934100.6928677
2022-09-08,97765353.24435896
2022-09-09,97906544.40513712
2022-09-12,97631653.68764986
2022-09-13,97848095.6743973
2022-09-14,97997976.5072617
2022-09-15,98462065.89167415
2022-09-16,99005722.13946888
2022-09-19,98858951.93101431
2022-09-20,99414293.11620693
2022-09-21,99801620.72269998
2022-09-22,100116529.97548059
2022-09-23,100697244.05665775
2022-09-26,101170287.21349294
2022-09-27,101334567.46507946
2022-09-28,100746926.66533256
2022-09-29,100797031.83058551
2022-09-30,101279682.11039983
2022-10-03,99669471.36001724
2022-10-04,98688174.17623137
2022-10-05,98604078.64920531
2022-10-06,99016547.02777384
2022-10-07,99074702.42072558
2022-10-10,99282703.3402162
2022-10-11,98905476.34732124
2022-10-12,99274850.07774425
2022-10-13,98489462.18655266
2022-10-14,98780078.01272391
2022-10-17,99163408.37877017
2022-10-18,98450922.00811347
2022-10-19,98885945.94997762
2022-10-20,99360926.86219475
2022-10-21,98499591.65463667
2022-10-24,97636084.32214166
2022-10-25,97741637.41945538
2022-10-26,96692762.75422595
2022-10-27,94689195.0299809
2022-10-28,93619294.83678049
2022-10-31,93165370.52305587
2022-11-01,92949387.58162478
2022-11-02,93262442.89542331
2022-11-03,93250357.4072069
2022-11-04,92929193.7089217
2022-11-07,92630413.26458675
2022-11-08,92100636.38397771
2022-11-09,92661617.02213101
2022-11-10,92309750.76590104
2022-11-11,92300319.51956183
2022-11-14,92819300.2437702
2022-11-15,92790319.3458604
2022-11-16,92684396.27829084
2022-11-17,92621471.83775552
2022-11-18,91842603.67376946
2022-11-21,90975575.13827662
2022-11-22,90659676.09283179
2022-11-23,91350657.99027172
2022-11-25,90969937.76164071
2022-11-28,91757291.93429872
2022-11-29,91452298.52574547
2022-11-30,91870050.14051943
2022-12-01,91952175.84346618
2022-12-02,92018692.86724508
2022-12-05,92523893.34027222
2022-12-06,92224898.46440026
2022-12-07,91989655.81014791
2022-12-08,92077484.03193043
2022-12-09,92791489.47009179
2022-12-12,91747546.33800288
2022-12-13,91673419.59101757
2022-12-14,91743669.08051682
2022-12-15,91902235.76615188
2022-12-16,92257046.25780755
2022-12-19,91896014.01854841
2022-12-20,91465861.54688174
2022-12-21,91094408.78627925
2022-12-22,90138375.43618006
2022-12-23,89826070.34783575
2022-12-27,88283424.25642455
2022-12-28,89022826.39609283
2022-12-29,89587553.94236374
2022-12-30,89893771.51825294
2023-01-03,89537361.90840739
2023-01-04,89528195.45377694
2023-01-05,89432342.4555314
2023-01-06,89086991.38724817
2023-01-09,90002476.73802096
2023-01-10,90094363.83635804
2023-01-11,90373531.93318197
2023-01-12,90604555.05913445
2023-01-13,90939257.272701
2023-01-17,91718183.93886201
2023-01-18,92106581.34843865
2023-01-19,92478661.69233876
2023-01-20,93000155.28709324
2023-01-23,93806500.5858321
2023-01-24,93781702.91446988
2023-01-25,93674749.69332708
2023-01-26,94792995.90487567
2023-01-27,96769692.22488306
2023-01-30,95531627.55589499
2023-01-31,95508060.96933967
2023-02-01,96338468.01656961
2023-02-02,99495886.3972464
2023-02-03,99389938.58840476
2023-02-06,99660702.83072367
2023-02-07,100344640.2477201
2023-02-08,100109527.27008946
2023-02-09,100109434.07484129
2023-02-10,98740771.02102081
2023-02-13,98769881.90687357
2023-02-14,100009690.78922261
2023-02-15,99985966.03578556
2023-02-16,99303575.83271791
2023-02-17,99378798.94019023
2023-02-21,99267902.81150506
2023-02-22,99562324.06775114
2023-02-23,100575322.89830913
2023-02-24,100364751.9199599
2023-02-27,100865109.27838197
2023-02-28,101195949.06512204
2023-03-01,100714823.4202584
2023-03-02,100090846.67005654
2023-03-03,100855914.73107107
2023-03-06,100875689.1447906
2023-03-07,101172604.98840955
2023-03-08,101106338.83597255
2023-03-09,101463746.6254305
2023-03-10,102604068.05992123
