Date,AAPL,AMZN,GOOGL,JNJ,JPM,META,MSFT,NVDA,TSLA,V
2023-11-07,179.7138214111328,142.7100067138672,129.89639282226562,140.0527801513672,136.41897583007812,316.3375549316406,353.7066345214844,45.922889709472656,222.17999267578125,240.1923828125
2023-11-08,180.7714385986328,142.0800018310547,130.75927734375,139.54232788085938,137.09152221679688,317.2900695800781,356.32611083984375,46.54146194458008,222.11000061035156,239.85806274414062
2023-11-09,180.2969970703125,140.60000610351562,129.17239379882812,136.82293701171875,136.68421936035156,318.0540771484375,353.8636474609375,46.91719055175781,209.97999572753906,237.62576293945312
2023-11-10,184.48350524902344,143.55999755859375,131.5031280517578,136.66514587402344,138.7113800048828,326.2100524902344,362.6737060546875,48.30122756958008,214.64999389648438,241.17578125
2023-11-13,182.8999481201172,142.58999633789062,131.00721740722656,137.017822265625,138.09567260742188,326.62677001953125,359.7402648925781,48.586021423339844,223.7100067138672,240.60540771484375
2023-11-14,185.51280212402344,145.8000030517578,132.52468872070312,137.045654296875,140.615478515625,333.6913146972656,363.2622985839844,49.62130355834961,237.41000366210938,242.8376922607422
2023-11-15,186.076904296875,143.1999969482422,133.51646423339844,138.10372924804688,141.84693908691406,330.119384765625,363.4098205566406,48.85383605957031,242.83999633789062,243.98826599121094
2023-11-16,187.7594757080078,142.8300018310547,135.8075408935547,139.31027221679688,143.46678161621094,331.5878601074219,369.79974365234375,49.44542694091797,233.58999633789062,244.44064331054688
2023-11-17,187.7396697998047,145.17999267578125,134.20082092285156,139.0225830078125,144.76458740234375,332.4312438964844,363.58673095703125,49.263553619384766,234.3000030517578,245.41416931152344
2023-11-20,189.4815673828125,146.1300048828125,135.13311767578125,140.24815368652344,145.20977783203125,337.32281494140625,371.0482177734375,50.373775482177734,235.60000610351562,245.81735229492188
2023-11-21,188.67990112304688,143.89999389648438,135.8472442626953,141.38015747070312,144.90667724609375,334.356201171875,366.7522888183594,49.90909957885742,241.1999969482422,248.03982543945312
2023-11-22,189.34300231933594,146.7100067138672,137.35476684570312,141.09950256347656,145.24766540527344,338.8310241699219,371.4512634277344,48.68195343017578,234.2100067138672,249.5050811767578
2023-11-24,188.0167694091797,146.74000549316406,135.5695343017578,142.6712188720703,145.4466094970703,335.5964660644531,371.0383605957031,47.74262237548828,235.4499969482422,250.075439453125
2023-11-27,187.83863830566406,147.72999572753906,135.2918243408203,141.52984619140625,145.11505126953125,332.09393310546875,372.1983642578125,48.208290100097656,236.0800018310547,249.9180908203125
2023-11-28,188.44235229492188,147.02999877929688,136.07533264160156,141.8572998046875,145.4466094970703,336.3504333496094,376.21917724609375,47.78758239746094,246.72000122070312,248.73805236816406
2023-11-29,187.42295837402344,146.32000732421875,133.88345336914062,142.3063507080078,146.18548583984375,329.6134338378906,372.4343566894531,48.106361389160156,244.13999938964844,250.006591796875
2023-11-30,187.99700927734375,146.08999633789062,131.44361877441406,144.69200134277344,147.8527374267578,324.6026916503906,372.4932861328125,46.73732376098633,240.0800018310547,252.4158935546875
2023-12-01,189.27374267578125,147.02999877929688,130.77911376953125,148.1722412109375,148.57264709472656,322.29083251953125,368.1678161621094,46.732322692871094,238.8300018310547,252.1897430419922
2023-12-04,187.48233032226562,144.83999633789062,128.21034240722656,148.64004516601562,149.6620635986328,317.52825927734375,362.8887939453125,45.47819519042969,235.5800018310547,250.21311950683594
2023-12-05,191.43130493164062,146.8800048828125,129.91624450683594,148.33128356933594,149.64309692382812,315.81170654296875,366.21148681640625,46.53755569458008,238.72000122070312,250.3802947998047
2023-12-06,190.34262084960938,144.52000427246094,128.95420837402344,146.52565002441406,148.07058715820312,314.97821044921875,362.5545349121094,45.47520446777344,239.3699951171875,250.0655975341797
2023-12-07,192.2725830078125,146.8800048828125,135.8075408935547,145.38429260253906,148.5252685546875,324.0470275878906,364.66815185546875,46.567535400390625,242.63999938964844,251.57020568847656
2023-12-08,193.69778442382812,147.4199981689453,133.88345336914062,144.46746826171875,150.1641082763672,330.1590576171875,367.8926086425781,47.47697448730469,243.83999633789062,251.4915313720703
2023-12-11,191.19378662109375,145.88999938964844,132.1973876953125,145.0662078857422,150.71356201171875,322.7472229003906,365.0121765136719,46.598514556884766,239.74000549316406,252.25856018066406
2023-12-12,192.70806884765625,147.47999572753906,131.4337158203125,145.07559204101562,152.05870056152344,331.6176452636719,368.0400390625,47.627891540527344,237.00999450683594,255.24806213378906
