Date,EqualWeight,^GSPC
2022-05-16,-0.01266,-0.00395
2022-05-17,0.02904,0.02017
2022-05-18,-0.04555,-0.0404
2022-05-19,-0.00713,-0.00583
2022-05-20,-0.00712,0.00015
2022-05-23,0.02634,0.01856
2022-05-24,-0.0293,-0.00812
2022-05-25,0.01532,0.00945
2022-05-26,0.0303,0.01988
2022-05-27,0.03363,0.02474
2022-05-31,0.0025,-0.00627
2022-06-01,-0.00919,-0.00748
2022-06-02,0.02967,0.01843
2022-06-03,-0.03131,-0.01635
2022-06-06,0.00761,0.00314
2022-06-07,0.00582,0.00952
2022-06-08,-0.00506,-0.01079
2022-06-09,-0.02995,-0.0238
2022-06-10,-0.03923,-0.02911
2022-06-13,-0.0468,-0.03877
2022-06-14,0.00131,-0.00377
2022-06-15,0.02998,0.01459
2022-06-16,-0.03822,-0.03251
2022-06-17,0.01084,0.0022
2022-06-21,0.02862,0.02448
2022-06-22,-0.00211,-0.0013
2022-06-23,0.0115,0.00953
2022-06-24,0.04077,0.03056
2022-06-27,-0.0097,-0.00297
2022-06-28,-0.03606,-0.02014
2022-06-29,0.00168,-0.00071
2022-06-30,-0.01727,-0.00876
2022-07-01,0.0055,0.01055
2022-07-05,0.02113,0.00158
2022-07-06,0.00533,0.00357
2022-07-07,0.02389,0.01496
2022-07-08,0.0016,-0.00083
2022-07-11,-0.02512,-0.01153
2022-07-12,-0.0093,-0.00924
2022-07-13,-0.001,-0.00446
2022-07-14,-0.002,-0.003
2022-07-15,0.02162,0.0192
2022-07-18,-0.00603,-0.00836
2022-07-19,0.0299,0.02763
2022-07-20,0.01538,0.0059
2022-07-21,0.01793,0.00986
2022-07-22,-0.02251,-0.00933
2022-07-25,-0.00652,0.00132
2022-07-26,-0.02374,-0.01154
2022-07-27,0.04383,0.02616
2022-07-28,0.00402,0.01213
2022-07-29,0.02384,0.01421
2022-08-01,-0.00212,-0.00282
2022-08-02,-0.00555,-0.00666
2022-08-03,0.02588,0.01564
2022-08-04,0.00535,-0.00078
2022-08-05,-0.00833,-0.00163
2022-08-08,-0.00891,-0.00124
2022-08-09,-0.00894,-0.00425
2022-08-10,0.03061,0.02129
2022-08-11,-0.00819,-0.00071
2022-08-12,0.01962,0.01732
2022-08-15,0.00943,0.00397
2022-08-16,0.00015,0.00188
2022-08-17,-0.01134,-0.00724
2022-08-18,0.00103,0.00227
2022-08-19,-0.02111,-0.0129
2022-08-22,-0.02514,-0.0214
2022-08-23,-0.0015,-0.00224
2022-08-24,0.00157,0.00292
2022-08-25,0.01969,0.01409
2022-08-26,-0.04215,-0.03369
2022-08-29,-0.01087,-0.00667
2022-08-30,-0.01031,-0.01103
2022-08-31,-0.00591,-0.00782
2022-09-01,0.00056,0.003
2022-09-02,-0.01608,-0.01074
2022-09-06,-0.00413,-0.0041
2022-09-07,0.01775,0.01834
2022-09-08,0.00678,0.00661
2022-09-09,0.02266,0.01527
2022-09-12,0.01138,0.01058
2022-09-13,-0.05665,-0.04324
2022-09-14,0.00725,0.00339
2022-09-15,-0.01103,-0.01132
2022-09-16,-0.00408,-0.00718
